play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
loves-labors-lost,Love's Labor's Lost,main,1,1,1.1,1,103,186,2689,0,0.08168,0.0,-0.0267,-0.01552,0.39977,0.40071
loves-labors-lost,Love's Labor's Lost,main,1,2,1.2,2,92,137,1400,0,0.18521,0.0,0.10802,0.06454,0.43807,0.40916
loves-labors-lost,Love's Labor's Lost,main,2,1,2.1,3,112,170,2303,0,0.20926,0.0963,0.00162,-0.01019,0.39011,0.42191
loves-labors-lost,Love's Labor's Lost,main,3,1,3.1,4,79,161,1917,0,0.17934,0.0,0.08742,0.04624,0.37095,0.41631
loves-labors-lost,Love's Labor's Lost,main,4,1,4.1,5,62,155,1637,0,0.13354,0.0,0.11174,0.03949,0.40018,0.41047
loves-labors-lost,Love's Labor's Lost,main,4,2,4.2,6,46,107,1779,0,0.22461,0.2732,0.06804,0.03137,0.42996,0.39909
loves-labors-lost,Love's Labor's Lost,main,4,3,4.3,7,107,270,3592,0,0.10654,0.0,0.04615,0.01261,0.49141,0.44914
loves-labors-lost,Love's Labor's Lost,main,5,1,5.1,8,56,103,1369,0,0.19773,0.0258,0.12439,0.07481,0.36922,0.40572
loves-labors-lost,Love's Labor's Lost,main,5,2,5.2,9,415,715,8790,0,0.13786,0.0,-0.01826,-0.01968,0.41518,0.40953
