play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1.1,1,31,129,1574,0,-0.18959,-0.1901,-0.11955,-0.11875,0.43481,0.39407
henry-vi-part-1,"Henry VI, Part 1",main,1,2,1.2,2,40,125,1273,0,0.03401,0.0,0.03986,-0.00387,0.44806,0.3856
henry-vi-part-1,"Henry VI, Part 1",main,1,3,1.3,3,32,89,793,0,-0.0377,0.0,0.00419,-0.01283,0.35736,0.36035
henry-vi-part-1,"Henry VI, Part 1",main,1,4,1.4,4,18,79,973,0,-0.05295,0.0,-0.04002,0.00034,0.41344,0.39766
henry-vi-part-1,"Henry VI, Part 1",main,1,5,1.5,5,9,33,358,0,-0.12988,0.0,0.02538,0.06323,0.44211,0.41717
henry-vi-part-1,"Henry VI, Part 1",main,1,6,1.6,6,5,19,246,0,0.35285,0.6249,0.1999,0.11044,0.44984,0.38852
henry-vi-part-1,"Henry VI, Part 1",main,2,1,2.1,7,33,68,739,0,-0.08095,0.0,0.01129,0.00925,0.40436,0.40847
henry-vi-part-1,"Henry VI, Part 1",main,2,2,2.2,8,13,32,498,0,0.06598,0.0,0.08974,0.0348,0.44587,0.39029
henry-vi-part-1,"Henry VI, Part 1",main,2,3,2.3,9,27,60,675,0,-0.03739,0.0,-0.02077,-0.02764,0.3801,0.42564
henry-vi-part-1,"Henry VI, Part 1",main,2,4,2.4,10,48,80,1165,0,0.01296,0.0,0.02774,-0.0055,0.43387,0.36832
henry-vi-part-1,"Henry VI, Part 1",main,2,5,2.5,11,19,67,1084,0,-0.00719,0.0,-0.13046,-0.0529,0.50615,0.43994
henry-vi-part-1,"Henry VI, Part 1",main,3,1,3.1,12,60,127,1698,0,0.00669,0.0,0.04322,0.01773,0.5129,0.43628
henry-vi-part-1,"Henry VI, Part 1",main,3,2,3.2,13,46,110,1252,0,0.0203,0.0,0.03151,-0.00118,0.48775,0.3992
henry-vi-part-1,"Henry VI, Part 1",main,3,3,3.3,14,27,69,761,0,0.05508,0.0,0.01452,0.008,0.45131,0.45734
henry-vi-part-1,"Henry VI, Part 1",main,3,4,3.4,15,11,32,412,0,0.08691,0.0,0.22461,0.33567,0.4664,0.41919
henry-vi-part-1,"Henry VI, Part 1",main,4,1,4.1,16,47,126,1601,0,-0.07763,0.0,-0.02796,-0.01717,0.46677,0.43701
henry-vi-part-1,"Henry VI, Part 1",main,4,2,4.2,17,5,34,484,0,-0.20043,-0.31375,-0.02148,-0.01429,0.49275,0.45187
henry-vi-part-1,"Henry VI, Part 1",main,4,3,4.3,18,10,29,452,0,-0.09902,0.0,0.0165,0.0028,0.52071,0.44669
henry-vi-part-1,"Henry VI, Part 1",main,4,4,4.4,19,12,29,399,0,-0.12051,0.0,-0.20665,-0.24906,0.39848,0.37395
henry-vi-part-1,"Henry VI, Part 1",main,4,5,4.5,20,19,47,549,0,-0.09315,0.0,-0.12309,-0.12969,0.45912,0.42915
henry-vi-part-1,"Henry VI, Part 1",main,4,6,4.6,21,5,34,487,0,-0.19793,-0.296,0.03365,0.01753,0.52365,0.45884
henry-vi-part-1,"Henry VI, Part 1",main,4,7,4.7,22,20,60,856,0,-0.15574,0.0,-0.06636,-0.02591,0.47809,0.45267
henry-vi-part-1,"Henry VI, Part 1",main,5,1,5.1,23,14,29,464,0,0.40328,0.4019,0.18853,0.16104,0.38936,0.34145
henry-vi-part-1,"Henry VI, Part 1",main,5,2,5.2,24,10,19,180,0,0.16591,0.1531,0.08366,0.00172,0.47111,0.43162
henry-vi-part-1,"Henry VI, Part 1",main,5,3,5.3,25,78,158,1747,0,0.19949,0.09505,0.07494,0.00334,0.44279,0.37769
henry-vi-part-1,"Henry VI, Part 1",main,5,4,5.4,26,41,107,1366,0,-0.06188,0.0,0.00057,-0.01278,0.47806,0.47472
henry-vi-part-1,"Henry VI, Part 1",main,5,5,5.5,27,13,49,892,0,0.32544,0.3134,0.09274,0.09706,0.47511,0.40762
