play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
henry-vi-part-1,"Henry VI, Part 1",main,1,1,1.1,1,39,139,1636,10,-0.18374,-0.1531,-0.24823,-0.98256,-0.10993,-0.0603,0.42165,0.96052,0.38115
henry-vi-part-1,"Henry VI, Part 1",main,1,2,1.2,2,48,136,1340,11,0.01533,0.0,0.08664,0.97047,0.03617,0.00321,0.44273,0.98274,0.37393
henry-vi-part-1,"Henry VI, Part 1",main,1,3,1.3,3,39,97,868,8,-0.03852,0.0,-0.44841,-0.98834,0.00932,-0.00445,0.34409,0.87117,0.34596
henry-vi-part-1,"Henry VI, Part 1",main,1,4,1.4,4,26,89,1024,10,-0.05464,0.0,-0.24445,-0.98209,-0.03497,0.00446,0.39196,0.94539,0.37596
henry-vi-part-1,"Henry VI, Part 1",main,1,5,1.5,5,17,46,424,13,-0.14357,0.0,-0.41733,-0.97521,0.01794,0.0214,0.38501,0.89325,0.35494
henry-vi-part-1,"Henry VI, Part 1",main,1,6,1.6,6,7,22,262,3,0.30473,0.2553,0.72189,0.99397,0.17179,0.05392,0.43452,0.69547,0.36772
henry-vi-part-1,"Henry VI, Part 1",main,2,1,2.1,7,39,76,792,8,-0.0832,0.0,-0.25993,-0.97681,0.01303,0.00863,0.38845,0.95756,0.38707
henry-vi-part-1,"Henry VI, Part 1",main,2,2,2.2,8,17,36,515,4,0.06427,0.0,0.22191,0.96901,0.08884,0.02899,0.42069,0.96482,0.37266
henry-vi-part-1,"Henry VI, Part 1",main,2,3,2.3,9,33,68,712,8,-0.028,0.0,-0.21779,-0.97135,-0.01222,-0.01697,0.35973,0.95665,0.40084
henry-vi-part-1,"Henry VI, Part 1",main,2,4,2.4,10,52,84,1186,4,0.01234,0.0,-0.07358,-0.96903,0.02829,-0.00067,0.42329,0.98668,0.3602
henry-vi-part-1,"Henry VI, Part 1",main,2,5,2.5,11,24,72,1107,5,-0.00669,0.0,-0.12088,-0.9732,-0.12633,-0.0403,0.48801,0.97641,0.42748
henry-vi-part-1,"Henry VI, Part 1",main,3,1,3.1,12,66,136,1763,9,-0.00504,0.0,-0.08264,-0.94353,0.04247,0.01896,0.50166,0.98012,0.42274
henry-vi-part-1,"Henry VI, Part 1",main,3,2,3.2,13,64,139,1410,29,-0.02257,0.0,-0.18424,-0.97476,0.0207,0.00465,0.45454,0.9598,0.36341
henry-vi-part-1,"Henry VI, Part 1",main,3,3,3.3,14,33,77,814,8,0.04103,0.0,0.07592,0.95737,0.01696,0.00882,0.43439,0.98189,0.43365
henry-vi-part-1,"Henry VI, Part 1",main,3,4,3.4,15,15,38,453,6,0.08705,0.0,0.16173,0.96901,0.19036,0.12195,0.43417,0.98094,0.39453
henry-vi-part-1,"Henry VI, Part 1",main,4,1,4.1,16,56,136,1657,10,-0.07192,0.0,-0.2544,-0.98423,-0.02282,-0.00856,0.44961,0.95482,0.42116
henry-vi-part-1,"Henry VI, Part 1",main,4,2,4.2,17,10,40,513,6,-0.17037,0.0,-0.20183,-0.95772,-0.01977,-0.00289,0.45902,0.9466,0.41618
henry-vi-part-1,"Henry VI, Part 1",main,4,3,4.3,18,13,33,475,4,-0.08702,0.0,-0.15229,-0.98513,0.01736,0.01721,0.48818,0.99081,0.41787
henry-vi-part-1,"Henry VI, Part 1",main,4,4,4.4,19,14,31,411,2,-0.11274,0.0,-0.30173,-0.98653,-0.18975,-0.09735,0.38615,0.94683,0.36926
henry-vi-part-1,"Henry VI, Part 1",main,4,5,4.5,20,21,49,559,2,-0.08934,0.0,-0.30173,-0.98319,-0.11171,-0.12407,0.44984,0.94767,0.42463
henry-vi-part-1,"Henry VI, Part 1",main,4,6,4.6,21,7,37,505,3,-0.20083,-0.296,-0.18751,-0.97901,0.03113,0.02819,0.50373,0.98085,0.4399
henry-vi-part-1,"Henry VI, Part 1",main,4,7,4.7,22,25,67,891,7,-0.1595,0.0,-0.31334,-0.98774,-0.06188,-0.02059,0.45881,0.94466,0.43144
henry-vi-part-1,"Henry VI, Part 1",main,5,1,5.1,23,18,34,498,5,0.34397,0.3397,0.53194,0.98735,0.16926,0.11186,0.38685,0.83641,0.31923
henry-vi-part-1,"Henry VI, Part 1",main,5,2,5.2,24,13,22,198,3,0.11416,0.0,0.09297,0.97274,0.07198,0.02094,0.47015,1.00317,0.40155
henry-vi-part-1,"Henry VI, Part 1",main,5,3,5.3,25,93,181,1833,23,0.1708,0.0,-0.01702,-0.90251,0.06603,0.01118,0.428,0.98417,0.35637
henry-vi-part-1,"Henry VI, Part 1",main,5,4,5.4,26,48,114,1402,7,-0.06371,0.0,-0.20667,-0.98344,0.0052,-0.00637,0.46643,0.96752,0.46118
henry-vi-part-1,"Henry VI, Part 1",main,5,5,5.5,27,17,53,914,4,0.30088,0.2732,0.30832,0.9854,0.0881,0.06676,0.46465,0.93673,0.39207
